# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
342.5           	8.91481661e-01
343             	8.91939583e-01
343.5           	8.92395866e-01
344             	8.92850516e-01
344.5           	8.93303542e-01
345             	8.93754950e-01
345.5           	8.94204749e-01
346             	8.94652944e-01
346.5           	8.95099543e-01
347             	8.95544553e-01
347.5           	8.95987979e-01
348             	8.96429830e-01
348.5           	8.96870111e-01
349             	8.97308828e-01
349.5           	8.97745988e-01
350             	8.98181597e-01
350.5           	8.98615661e-01
351             	8.99048185e-01
351.5           	8.99479176e-01
352             	8.99908639e-01
352.5           	9.00336579e-01
353             	9.00763003e-01
353.5           	9.01187916e-01
354             	9.01611323e-01
354.5           	9.02033228e-01
355             	9.02453638e-01
355.5           	9.02872558e-01
356             	9.03289991e-01
356.5           	9.03705944e-01
357             	9.04120421e-01
357.5           	9.04533427e-01
358             	9.04944966e-01
358.5           	9.05355044e-01
359             	9.05763664e-01
359.5           	9.06170831e-01
360             	9.06576549e-01
360.5           	9.06980824e-01
361             	9.07383659e-01
361.5           	9.07785059e-01
362             	9.08185027e-01
362.5           	9.08583568e-01
363             	9.08980686e-01
363.5           	9.09376386e-01
364             	9.09770670e-01
364.5           	9.10163544e-01
365             	9.10555011e-01
365.5           	9.10945076e-01
366             	9.11333741e-01
366.5           	9.11721011e-01
367             	9.12106890e-01
367.5           	9.12491382e-01
368             	9.12874490e-01
368.5           	9.13256218e-01
369             	9.13636571e-01
369.5           	9.14015551e-01
370             	9.14393163e-01
370.5           	9.14769410e-01
371             	9.15144296e-01
371.5           	9.15517825e-01
372             	9.15890001e-01
372.5           	9.16260826e-01
373             	9.16630306e-01
373.5           	9.16998443e-01
374             	9.17365241e-01
374.5           	9.17730705e-01
375             	9.18094837e-01
375.5           	9.18457641e-01
376             	9.18819122e-01
376.5           	9.19179283e-01
377             	9.19538128e-01
377.5           	9.19895660e-01
378             	9.20251883e-01
378.5           	9.20606801e-01
379             	9.20960418e-01
379.5           	9.21312738e-01
380             	9.21663764e-01
380.5           	9.22013501e-01
381             	9.22361951e-01
381.5           	9.22709120e-01
382             	9.23055011e-01
382.5           	9.23399628e-01
383             	9.23742975e-01
383.5           	9.24085055e-01
384             	9.24425873e-01
384.5           	9.24765434e-01
385             	9.25103740e-01
385.5           	9.25440796e-01
386             	9.25776606e-01
386.5           	9.26111175e-01
387             	9.26444506e-01
387.5           	9.26776603e-01
388             	9.27107471e-01
388.5           	9.27437115e-01
389             	9.27765537e-01
389.5           	9.28092743e-01
390             	9.28418737e-01
390.5           	9.28743523e-01
391             	9.29067106e-01
391.5           	9.29389489e-01
392             	9.29710678e-01
392.5           	9.30030677e-01
393             	9.30349490e-01
393.5           	9.30667122e-01
394             	9.30983577e-01
394.5           	9.31298860e-01
395             	9.31612976e-01
395.5           	9.31925928e-01
396             	9.32237723e-01
396.5           	9.32548364e-01
397             	9.32857856e-01
397.5           	9.33166203e-01
398             	9.33473412e-01
398.5           	9.33779485e-01
399             	9.34084429e-01
399.5           	9.34388248e-01
400             	9.34690946e-01
400.5           	9.34992529e-01
401             	9.35293002e-01
401.5           	9.35592368e-01
402             	9.35890634e-01
402.5           	9.36187805e-01
403             	9.36483884e-01
403.5           	9.36778878e-01
404             	9.37072791e-01
404.5           	9.37365628e-01
405             	9.37657394e-01
405.5           	9.37948094e-01
406             	9.38237734e-01
406.5           	9.38526318e-01
407             	9.38813851e-01
407.5           	9.39100339e-01
408             	9.39385787e-01
408.5           	9.39670199e-01
409             	9.39953581e-01
409.5           	9.40235938e-01
410             	9.40517276e-01
410.5           	9.40797599e-01
411             	9.41076912e-01
411.5           	9.41355221e-01
412             	9.41632530e-01
412.5           	9.41908846e-01
413             	9.42184173e-01
413.5           	9.42458517e-01
414             	9.42731882e-01
414.5           	9.43004274e-01
415             	9.43275697e-01
415.5           	9.43546158e-01
416             	9.43815662e-01
416.5           	9.44084213e-01
417             	9.44351817e-01
417.5           	9.44618478e-01
418             	9.44884203e-01
418.5           	9.45148997e-01
419             	9.45412863e-01
419.5           	9.45675809e-01
420             	9.45937838e-01
420.5           	9.46198957e-01
421             	9.46459169e-01
421.5           	9.46718481e-01
422             	9.46976897e-01
422.5           	9.47234423e-01
423             	9.47491064e-01
423.5           	9.47746825e-01
424             	9.48001710e-01
424.5           	9.48255726e-01
425             	9.48508876e-01
425.5           	9.48761167e-01
426             	9.49012603e-01
426.5           	9.49263189e-01
427             	9.49512930e-01
427.5           	9.49761831e-01
428             	9.50009898e-01
428.5           	9.50257135e-01
429             	9.50503547e-01
429.5           	9.50749139e-01
430             	9.50993915e-01
